COUNTY,POPESTIMATE2019
27,6725
29,4123
31,471519
33,9580
510,55916
0,1359711
1,61303
3,48910
5,76085
7,31563
9,89886
11,417025
13,151391
15,309769
17,130633
19,43146
0,8882190
1,263670
3,932202
5,445349
7,506471
9,92039
11,149527
13,798975
15,291636
17,672391
19,124371
21,367430
23,825062
25,618795
27,491845
29,607186
31,501826
33,62385
35,328934
37,140488
39,556341
41,105267
0,2096829
1,679121
3,3527
5,64615
6,26675
7,11941
9,48954
11,1748
13,218195
15,58460
17,26998
19,4300
21,625
23,4198
25,71070
27,19572
28,19369
29,23709
31,71367
33,4521
35,67490
37,8253
39,38921
41,18500
43,146748
45,123958
47,27277
49,150358
51,10791
53,16637
55,32723
57,15461
59,4059
61,76688
0,19453561
1,305506
3,46091
5,1418207
7,190488
9,76117
11,76576
13,126903
15,83456
17,47207
19,80485
21,59461
23,47581
25,44135
27,294218
29,918702
31,36885
33,50022
35,53383
37,57280
39,47188
41,4416
43,61319
45,109834
47,2559903
49,26296
51,62914
53,70941
55,741770
57,49221
59,1356924
61,1628706
63,209281
65,228671
67,460528
69,109777
71,384940
73,40352
75,117124
77,59493
79,98320
81,2253858
83,158714
85,476143
87,325789
89,107740
91,229863
93,155299
95,30999
97,17807
99,34016
101,95379
103,1476601
105,75432
107,48203
109,102180
111,177573
113,63944
115,61204
117,89918
119,967506
121,39859
123,24913
0,10488084
1,169509
3,37497
5,11137
7,24446
9,27203
11,17557
13,46994
15,18947
17,32722
19,142820
21,261191
23,90485
25,216453
27,82178
29,10867
31,69473
33,22604
35,159551
37,74470
39,28612
41,13943
43,11231
45,97947
47,55508
49,102139
51,335509
53,27763
55,37009
57,167609
59,42846
61,58741
63,321488
65,51472
67,382295
69,69685
71,224529
73,11562
75,8441
77,60443
79,21069
81,537174
83,50010
85,135976
87,62317
89,117417
91,23677
93,55234
95,4937
97,181806
99,43938
101,209339
103,9419
105,61779
107,55949
109,86111
111,45756
113,35858
115,21755
117,22440
119,1110356
121,14964
123,27173
125,100880
127,94298
129,234473
131,19483
133,197938
135,148476
137,12726
139,39824
141,63060
143,13463
145,39490
147,180742
149,20724
151,143667
153,44829
155,130625
157,91010
159,142088
161,67029
163,63531
165,34823
167,62806
169,45591
171,71783
173,14271
175,34385
177,4016
179,239859
181,44535
183,1111761
185,19731
187,11580
189,56177
191,123131
193,68412
195,81801
197,37667
199,18069
0,762062
1,2216
3,10415
5,6832
7,928
9,6282
11,3024
13,2115
15,95626
17,181923
19,3762
21,4872
23,2264
25,4424
27,2287
29,3241
31,3210
33,1761
35,69451
37,2274
39,2231
41,2499
43,2480
45,4046
47,1850
49,5745
51,2497
53,15024
55,9450
57,8187
59,31364
61,10545
63,2879
65,1959
67,6801
69,3975
71,11519
73,5218
75,2327
77,16177
79,14176
81,3898
83,1315
85,4230
87,750
89,31489
91,1890
93,20704
95,2189
97,8036
99,10641
101,67641
103,3834
105,37589
0,11689100
1,27698
3,102351
5,53484
7,97241
9,65327
11,45656
13,67006
15,43432
17,383134
19,26914
21,38885
23,134083
25,206428
27,41968
29,101883
31,36600
33,41494
35,1235072
37,51113
39,38087
41,209177
43,74266
45,157574
47,28525
49,1316756
51,42126
53,29898
55,93649
57,168937
59,38875
61,817473
63,75783
65,31365
67,15040
69,27006
71,43161
73,28264
75,43960
77,58266
79,32413
81,65325
83,62322
85,230149
87,59463
89,176862
91,45672
93,309833
95,428348
97,44731
99,228683
101,65093
103,179746
105,22907
107,41172
109,106987
111,13654
113,531687
115,14508
117,35328
119,86215
121,14424
123,40525
125,18672
127,36134
129,58457
131,27772
133,162466
135,40882
137,33861
139,121154
141,76666
143,58518
145,75314
147,55178
149,48590
151,370606
153,541013
155,197974
157,91987
159,58988
161,28275
163,13085
165,234602
167,59911
169,115710
171,36692
173,130817
175,21772
0,3956971
1,22194
3,5702
5,13758
7,5311
9,21859
11,9429
13,47995
15,28762
17,148306
19,48111
21,48657
23,14672
25,2137
27,284014
29,5495
31,120749
33,5666
35,14142
37,71522
39,29003
41,43009
43,4891
45,3859
47,61056
49,27711
51,55834
53,4333
55,5712
57,2653
59,3688
61,12627
63,13279
65,24530
67,6002
69,11085
71,43538
73,15765
75,8708
77,10073
79,49853
81,34877
83,48011
85,10253
87,40474
89,32832
91,19596
93,7629
95,16931
97,41100
99,14073
101,67997
103,11131
105,10076
107,11993
109,797434
111,38465
113,46963
115,31127
117,16376
119,81784
121,43654
123,38284
125,72592
127,11096
129,3583
131,92459
133,24258
135,41569
137,43143
139,19983
141,7250
143,651552
145,81289
147,51527
149,10916
151,8793
153,20211
0,4217737
1,16124
3,93053
5,418187
7,40224
9,52354
11,64487
13,24404
15,22925
17,197692
19,110980
21,1912
23,7199
25,7393
27,23382
29,220944
31,24658
33,87487
35,68238
37,7869
39,382067
41,49962
43,129749
45,30571
47,347818
49,11603
51,812855
53,86085
55,1780
57,27036
59,77950
61,26835
63,7208
65,26682
67,601592
69,1332
71,107100
0,12801989
1,103009
3,1216045
5,64735
7,163929
9,47888
11,421164
13,121829
15,60323
17,628270
19,187853
21,130192
23,4447
25,64182
